Sr. No.,Primary Gene,Primary UniProt ID,Protein Encoded,Interacting Genes
1,NOD2,Q9HC29,Nucleotide-binding oligomerization domain-containing protein 2,"RIPK2, VIM, VCP, ERBIN, TRIM27"
2,ATG16L1,Q676U5,Autophagy- related protein 16-1,"ATG5, RB1CC1, ATG12, RAB33B, RAB33A"
3,IRGM,A1A4Y4,Immunity-related GTPase family M protein,"OPTN, CFL1, CAMKK1, HOXD13, RALGAPB"
4,CARD10,Q9BWT7,Caspase recruitment domain-containing protein 10,"FAM167A, GFOD1, KRTAP26-1, BAHD1, BCL6B"
5,SIAE,Q9HAT2,Sialate O-acylesterase,"FBOX2, NPTX1, DEFB109B, EDDM3A, ARSB"
6,IL23R,Q5VWK5,Interleukin-23 receptor,"C1D, IL23A, IL12RB1, ACTB, ACTC1"
7,IRF5,Q13568,Interferon regulatory factor 5,"RELA, CREBBP, CEP152, SGTA, TRIM28"
8,ABCB1,P08183,ATP-dependent translocase ABCB1,"LGALS3, SAAL1, TMEM169, RNF2, LAPTM4B"
9,CARD8,Q9Y2G2,Caspase recruitment domain-containing protein 8,"NLRP3, CEP192, DPH1, E2F6, LRCH2"
10,IL10RB,Q08334,Interleukin-10 receptor subunit beta,"IL10, IL22, IL22RA1, IL22RA2, CTLA4"
11,IL10RA,Q13651,Interleukin-10 receptor subunit alpha,"IL10, BTRC, ATP6V0C, C1QL4, CD302"
12,IL37,Q9NZH6,Interleukin-37,"GRIN2C, CHAT, FGFR3, GSN, UBQLN1"
13,INAVA,Q3KP66,Innate immunity activator protein,"CYTH1, CEP170, SGF29. CYTH2, CYTH3"